Date,UK,Germany,France,Japan,DJI,SP500,Italy,Spain,Sweden,Switzerland,Belgium,Greece,China,Korea,Australia,Mexico,Brazil
733778,4579.600098,4983.990234,3359.919922,9043.120117,8952.889648,927.450012,20262,9644.099609,693.76,5756.100098,2004.319946,1862.32,1880.72,1173.569946,3638.899902,23238.859375,41519
733780,4507.5,4937.470215,3346.090088,9239.240234,8769.700195,906.650024,20606,9570,701.41,5761.700195,1997.910034,1920.73,1924.01,1228.170044,3728.199951,22117.509766,40820
733781,4505.399902,4879.910156,3324.330078,8876.419922,8742.459961,909.72998,20630,9469.5,695.95,5751.100098,1976.569946,1913.6,1878.18,1205.699951,3643.600098,21955.400391,41991
733782,4448.5,4783.890137,3299.5,8836.799805,8599.179688,890.349976,20093,9378.5,685.83,5697.200195,1973.949951,1892.29,1904.86,1180.959961,3680.399902,21741.289062,41583
733786,4399.200195,4636.939941,3197.889893,8413.910156,8448.55957,871.789978,19455,9057.299805,656.62,5534.299805,1963.02002,1844.43,1863.37,1167.709961,3593.899902,21047.300781,39544
733787,4180.600098,4422.350098,3052,8438.450195,8200.139648,842.619995,18763,8692.700195,622.59,5378.799805,1890.27002,1743.47,1928.87,1182.680054,3624.300049,20369.230469,37982
733788,4121.100098,4336.72998,2995.879883,8023.310059,8212.490234,843.73999,18402,8611.099609,620.32,5382.399902,1856.109985,1709.69,1920.21,1111.339966,3476.800049,20280.490234,39151
733789,4147.100098,4366.279785,3016.75,8230.150391,8281.219727,850.119995,18703,8620.099609,628.69,5435.5,1851.650024,1749.95,1954.44,1135.199951,3494.899902,20325.390625,39342
733793,4091.399902,4239.850098,2925.280029,8065.790039,7949.089844,805.219971,18024,8276.5,597.76,5321,1802.73999,1652.51,1994.11,1126.810059,3425,19213.019531,37272
733794,4059.899902,4261.149902,2905.570068,7901.640137,8228.099609,840.23999,17684,8230.700195,615.11,5304.200195,1794.969971,1702.73,1985.02,1103.609985,3394.800049,19497.099609,38543
733795,4052.199951,4219.419922,2869.620117,8051.740234,8122.799805,827.5,17369,8159.299805,608.73,5329.399902,1805.380005,1671.12,2004.95,1116.22998,3431.899902,19306.730469,37894
733796,4052.5,4178.939941,2849.139893,7745.25,8077.560059,831.950012,17283,8172.799805,604.12,5306.899902,1834.189941,1663.39,1990.66,1093.400024,3300.300049,19348.810547,38132
733801,4295.200195,4518.720215,3076.01001,8106.290039,8375.450195,874.090027,18341,8701.5,639.29,5417.899902,1925.47998,1748.61,1990.66,1157.97998,3435.100098,20145.220703,40227
733802,4190.100098,4428.109863,3009.75,8251.240234,8149.009766,845.140015,18092,8477.400391,616.1,5272.899902,1893.939941,1731.37,1990.66,1166.560059,3461.300049,19537.050781,39638
733803,4149.600098,4338.350098,2973.919922,7994.049805,8000.859863,825.880005,17934,8450.400391,617.38,5290,1900.089966,1779.47,1990.66,1162.109985,3478.100098,19565.140625,39301
733807,4164.5,4374.959961,2982.389893,7825.509766,8078.359863,838.51001,17669,8361.900391,622.737,5217.600098,1883.810059,1730.95,2060.81,1163.199951,3449.100098,19630.460938,39747
733808,4228.600098,4492.790039,3068.98999,8038.939941,7956.660156,832.22998,18015,8495.400391,644.715,5225.5,1906.48999,1744.05,2107.75,1195.369995,3382.300049,19622.599609,40129
733809,4228.899902,4510.490234,3066.290039,7949.649902,8063.069824,845.849976,18013,8440.200195,643.199,5106.899902,1907.219971,1715.57,2098.02,1177.880005,3372.600098,19736.960938,41109
733810,4291.899902,4644.629883,3122.790039,8076.620117,8280.589844,868.599976,18434,8544.700195,670.536,5123.100098,1916.880005,1761.69,2181.24,1210.26001,3407.5,20438.130859,42756
733813,4307.600098,4666.819824,3134.870117,7969.029785,8270.870117,869.890015,18663,8584.799805,688.419,5158.5,1927.25,1768.18,2224.71,1202.689941,3445.800049,20537.099609,42100
733814,4213.100098,4505.540039,3020.75,7945.939941,7888.879883,827.159973,18252,8397.299805,676.476,5144.700195,1884.26001,1763.08,2265.16,1198.869995,3428.600098,19825.720703,41207
733816,4202.200195,4407.560059,2964.340088,7705.359863,7932.759766,835.190002,17669,8200.900391,672.863,5106.700195,1843,1729.41,2248.09,1179.839966,3458.5,19358.25,40501
