Obs	Year	Month	Day	Latitude	Longitude	ZonWinds	MerWinds	Humidity	AirTemp	SSTemp
30001	97	5	5	-0.03	-170.05	-6.4	-0.9	NaN	NaN	29.94
30002	97	5	6	-0.04	-170.04	-5.6	-0.8	NaN	NaN	29.96
30003	97	5	7	-0.03	-170.05	-0.4	-0.6	NaN	NaN	30
30004	97	5	8	-0.03	-170.04	-2.3	-1.5	NaN	NaN	29.76
30005	97	5	9	-0.03	-170.04	-3	-0.9	NaN	NaN	29.94
30006	97	5	10	-0.04	-170.05	-6.5	0.8	NaN	NaN	29.76
30007	97	5	11	-0.04	-170.04	-5.5	-1.6	NaN	NaN	29.82
30008	97	5	12	-0.03	-170.04	-5.5	1.3	NaN	NaN	29.88
30009	97	5	13	-0.03	-170.04	-5.5	2.3	NaN	NaN	29.77
30010	97	5	14	-0.02	-170.04	-5.2	1.5	NaN	NaN	29.67
30011	97	5	15	-0.02	-170.05	-5.6	-1.2	NaN	NaN	29.7
30012	97	5	16	-0.02	-170.05	-3.3	-1.6	NaN	NaN	29.7
30013	97	5	17	-0.03	-170.04	-3	0.5	NaN	NaN	29.81
30014	97	5	18	-0.03	-170.04	0	-1.5	NaN	NaN	29.69
30015	97	5	19	-0.02	-170.04	1.3	-2.9	NaN	NaN	29.95
30016	97	5	20	-0.02	-170.04	2.1	-0.1	NaN	NaN	29.69
30017	97	5	21	-0.02	-170.04	1.6	1.4	NaN	NaN	29.87
30018	97	5	22	-0.02	-170.04	0.4	0.9	NaN	NaN	29.97
30019	97	5	23	0	-170	-1.6	-1.2	NaN	NaN	29.78
30020	97	5	24	-0.03	-170.03	NaN	NaN	NaN	NaN	NaN
30021	97	5	25	-0.03	-170.03	NaN	NaN	NaN	NaN	NaN
30022	97	5	26	-0.03	-170.03	-2.1	0.3	79.4	29.09	29.92
30023	97	5	27	-0.03	-170.03	1.8	-0.1	87.4	26.93	29.72
30024	97	5	28	-0.03	-170.03	2	2	81.1	27.79	29.97
30025	97	5	29	-0.03	-170.03	3.2	3.4	82.8	28.07	29.9
30026	97	5	30	-0.03	-170.03	4.4	2	85.7	27.36	29.73
30027	97	5	31	-0.03	-170.03	7.3	-2.2	87.4	26.89	29.52
30028	97	6	1	-0.03	-170.03	7.1	-4.8	82.3	28.03	29.41
30029	97	6	2	-0.03	-170.02	7.2	-0.7	82.8	27.64	29.33
30030	97	6	3	-0.04	-170.02	6	-0.7	78.5	28.62	29.42
30031	97	6	4	-0.03	-170.03	5.8	-2.1	78.5	28.93	29.44
30032	97	6	5	-0.03	-170.03	4.5	-0.1	80.6	28.42	29.45
30033	97	6	6	-0.03	-170.02	7.2	0.7	85.3	27.48	29.5
30034	97	6	7	-0.03	-170.02	7.6	2.4	84	27.75	29.38
30035	97	6	8	-0.03	-170.02	6.9	-0.1	85.3	27.83	29.43
30036	97	6	9	-0.03	-170.02	6.8	-1.7	80.2	28.74	29.42
30037	97	6	10	-0.03	-170.02	2.6	-3.1	86.2	26.93	29.41
30038	97	6	11	-0.03	-170.02	4.6	0.7	79.8	28.03	29.41
30039	97	6	12	-0.03	-170.02	-0.2	-2.5	81.1	28.81	29.52
30040	97	6	13	-0.03	-170.02	-1.8	2.2	81.1	28.97	29.55
30041	97	6	14	-0.03	-170.02	-2.3	2.7	81.9	28.93	29.61
30042	97	6	15	-0.03	-170.02	-1.3	0.4	80.6	29.01	29.7
30043	97	6	16	-0.03	-170.02	-0.6	0.1	78.1	29.13	30.03
30044	97	6	17	-0.03	-170.02	-0.7	1.5	82.3	28.54	29.9
30045	97	6	18	-0.04	-170.02	-0.5	4.6	81.1	28.77	29.57
30046	97	6	19	-0.03	-170.02	5.5	4	81.5	28.15	29.47
30047	97	6	20	-0.03	-170.02	0.5	2.9	81.5	27.95	29.34
30048	97	6	21	-0.03	-170.02	1	0.1	77.7	28.66	29.83
30049	97	6	22	-0.03	-170.02	4.1	0	79.4	28.19	29.54
30050	97	6	23	-0.03	-170.02	1.5	2.5	81.1	28.23	29.55
30051	97	6	24	-0.03	-170.02	-4	1	78.5	28.97	29.47
30052	97	6	25	-0.04	-170.03	-3.8	-0.6	76.4	29.05	29.4
30053	97	6	26	-0.03	-170.02	-3.8	0	76.8	29.05	29.36
30054	97	6	27	-0.03	-170.02	-3.9	2.5	80.6	28.77	29.37
30055	97	6	28	-0.03	-170.03	-3.4	-0.5	82.8	28.46	29.44
30056	97	6	29	-0.02	-170.03	-3.2	-1.4	82.3	28.7	29.52
30057	97	6	30	-0.02	-170.03	-3.8	1	83.6	28.38	29.47
30058	97	7	1	-0.03	-170.04	-1.2	-2.2	84	27.91	29.54
30059	97	7	2	-0.02	-170.04	-0.9	-0.8	83.2	28.07	29.59
30060	97	7	3	-0.03	-170.04	-0.8	1.9	88.7	27.09	29.49
30061	97	7	4	-0.03	-170.04	-1.7	-1.3	77.2	28.97	29.6
30062	97	7	5	-0.03	-170.03	-2.1	0.3	78.1	28.42	29.65
30063	97	7	6	-0.03	-170.03	-3.7	0.2	82.3	27.83	29.46
30064	97	7	7	-0.03	-170.03	-3.4	0.8	79.8	28.81	29.45
30065	97	7	8	-0.03	-170.03	-0.9	-1.2	81.9	28.23	29.48
30066	97	7	9	-0.02	-170.02	-1.6	0.9	82.3	28.23	29.71
30067	97	7	10	-0.03	-170.03	-4.2	-0.8	82.3	28.66	29.58
30068	97	7	11	-0.02	-170.03	-5.1	-1.4	82.8	29.05	29.56
30069	97	7	12	-0.02	-170.04	-5.3	-2.6	81.5	29.36	29.52
