Date,UK,Germany,France,Japan,DJI,SP500,Italy,Spain,Sweden,Switzerland,Belgium,Greece,China,Korea,Australia,Mexico,Brazil
733411,6348.5,7808.689941,5446.790039,14691.410156,12800.179688,1411.630005,37450,14602.299805,1014.63,8130,4094.379883,5112.22,5361.57,1863.900024,6385.399902,28317.919922,61037
733414,6335.700195,7817.169922,5452.830078,14500.549805,12827.490234,1416.180054,37601,14667,1011.49,8110.600098,4097.279785,5108.04,5393.34,1831.140015,6240.399902,28152.560547,60772
733415,6356.5,7849.990234,5495.669922,14528.669922,12589.070312,1390.189941,37571,14670.5,1024.42,8316.400391,4097.169922,5143.93,5386.53,1826.22998,6205.700195,28267.779297,62081
733416,6272.700195,7782.709961,5435.419922,14599.160156,12735.30957,1409.130005,37321,14603.5,1003.69,8339.799805,4065.320068,5072.65,5435.81,1844.469971,6159.5,28401.609375,62674
733417,6222.700195,7713.089844,5400.430176,14388.110352,12853.089844,1420.329956,37293,14524,989.7,8290.799805,4051.530029,4962.53,5456.54,1824.780029,6147.299805,29069.560547,63515
733418,6202,7717.950195,5371.410156,14110.790039,12606.299805,1401.02002,37364,14458,987.94,8159.700195,4022.929932,4858.35,5484.68,1782.27002,6054.399902,28723.820312,61942
733422,6025.600098,7566.379883,5250.819824,13972.629883,12501.110352,1380.949951,36682,13945.200195,972.15,7973.899902,3900.330078,4647.11,5443.79,1746.949951,6019.799805,27961.849609,59907
733423,5942.899902,7471.569824,5225.390137,13504.509766,12466.160156,1373.199951,36632,13817.099609,965.63,7847.5,3801.370117,4523.76,5290.61,1704.969971,5870.799805,27343.570312,58777
733424,5902.399902,7413.529785,5157.089844,13783.450195,12159.209961,1333.25,36238,13775.599609,966.29,7788.100098,3767.540039,4533.32,5151.63,1723.550049,5857,26698.660156,57037
733425,5901.700195,7314.169922,5092.399902,13861.290039,12099.299805,1325.189941,35753,13655.400391,957.63,7692,3695.129883,4587.09,5180.51,1734.719971,5799.399902,26713.830078,57506
733429,5740.100098,6769.470215,4842.540039,12573.049805,11971.19043,1310.5,34302,12839.700195,955.93,7487.899902,3548.649902,4253.25,4559.75,1609.02002,5222,26892.740234,56097
733430,5609.399902,6439.209961,4636.759766,12829.05957,12270.169922,1338.599976,32940,12254.599609,921.28,7356.100098,3460,4098.75,4703.05,1628.420044,5445.600098,27620.330078,54235
733431,5875.799805,6821.069824,4915.290039,13092.780273,12378.610352,1352.069946,34237,13106.700195,958.55,7691,3684.360107,4426.53,4717.73,1663,5605.799805,27905.130859,57463
733436,5885.200195,6892.959961,4941.450195,13478.860352,12480.299805,1362.300049,34565,13246.599609,956.97,7704.399902,3768.409912,4518.16,4457.94,1637.910034,5754.5,28263.949219,59530
733437,5837.299805,6875.350098,4873.569824,13345.030273,12442.830078,1355.810059,34274,13217.099609,951.14,7671.799805,3767.060059,4487.15,4417.85,1589.060059,5665.299805,28296.800781,60289
733438,5879.799805,6851.75,4869.790039,13592.469727,12650.360352,1378.550049,34230,13229,949.04,7670.399902,3722.22998,4362.79,4383.39,1624.680054,5697,28793.640625,59490
733439,6029.200195,6968.669922,4978.060059,13497.160156,12743.19043,1395.420044,34615,13494.700195,976.43,7816,3809.629883,4436.36,4320.77,1634.530029,5882.299805,29429.929688,61080
733451,5880.100098,6973.669922,4855.399902,13068.299805,12552.240234,1367.209961,34014,13266.700195,949.05,7536.5,3713.959961,4352.41,4490.72,1631.780029,5615.299805,29306.759766,62591
733452,5879.299805,6962.279785,4858.649902,13626.450195,12376.980469,1348.859985,34123,13313.200195,950.84,7502,3761.879883,4424.7,4552.32,1697.449951,5748.200195,29138.919922,61819
733453,5787.600098,6832.430176,4771.790039,13622.55957,12348.209961,1349.98999,33568,13073.900391,938.79,7353,3662.780029,4320.67,4497.13,1694.77002,5679.799805,28744.810547,61272
733457,5966.899902,7002.290039,4885.830078,13757.910156,12337.219727,1348.780029,34120,13269.700195,967.42,7462.700195,3766.22998,4353.61,4664.29,1720.52002,5688.600098,28899.970703,62297
733458,5893.600098,6899.680176,4812.810059,13310.370117,12427.259766,1360.030029,33816,13080.400391,954.53,7381.600098,3734.169922,4285.54,4567.03,1687.910034,5577.299805,29224.439453,63747
733459,5932.200195,6904.850098,4858.850098,13688.280273,12284.299805,1342.530029,33877,13173,959.79,7486.100098,3726.719971,4344.93,4527.18,1704.359985,5663,29361.320312,63792
733460,5888.5,6806.290039,4824.549805,13500.459961,12381.019531,1353.109985,33428,13017.5,944.13,7454.799805,3662.419922,4350.03,4370.29,1686.449951,5644.5,29528.789062,64609
733463,5999.5,6882.560059,4919.259766,13914.570312,12570.219727,1371.800049,33931,13156.599609,961.88,7615.799805,3733.959961,4377.15,4192.53,1709.130005,5699.799805,29962.880859,65001
733464,6087.399902,6985.970215,4973.069824,13824.719727,12684.919922,1381.290039,34433,13436.599609,980.1,7743.200195,3794.860107,4377.85,4238.18,1709.130005,5745.799805,30228.080078,65183
733465,6076.5,6997.850098,4968.819824,14031.299805,12694.280273,1380.02002,34532,13454.299805,986.3,7782.5,3787.530029,4316.59,4334.05,1720.890015,5842.5,30424.759766,65495
733466,5965.700195,6862.52002,4865.22998,13925.509766,12582.179688,1367.680054,34082,13272.099609,971.08,7663,3762.679932,4208.34,4299.51,1736.170044,5746.100098,30130.470703,65555
733467,5884.299805,6748.129883,4790.660156,13603.019531,12266.389648,1330.630005,33587,13170.400391,965.29,7533.899902,3757.120117,4133.03,4348.54,1711.619995,5674.700195,28918.519531,63489
733470,5818.600098,6689.950195,4742.660156,12992.179688,12258.900391,1331.339966,33173,12862.5,954.22,7403.899902,3704.379883,4053.06,4438.27,1671.72998,5510.700195,29526.699219,64490
