    % nodes     X            Y           Z 
    1.0000    0.3000   -0.0000         0
    2.0000    0.3000   -0.0000    0.2000
    3.0000    0.3000   -0.0000    0.4000
    4.0000    0.3000   -0.0000    0.6000
    5.0000    0.3000   -0.0000    0.8000
    6.0000    0.2853    0.0927         0
    7.0000    0.2853    0.0927    0.2000
    8.0000    0.2853    0.0927    0.4000
    9.0000    0.2853    0.0927    0.6000
   10.0000    0.2853    0.0927    0.8000
   11.0000    0.2427    0.1763         0
   12.0000    0.2427    0.1763    0.2000
   13.0000    0.2427    0.1763    0.4000
   14.0000    0.2427    0.1763    0.6000
   15.0000    0.2427    0.1763    0.8000
   16.0000    0.1763    0.2427         0
   17.0000    0.1763    0.2427    0.2000
   18.0000    0.1763    0.2427    0.4000
   19.0000    0.1763    0.2427    0.6000
   20.0000    0.1763    0.2427    0.8000
   21.0000    0.0927    0.2853         0
   22.0000    0.0927    0.2853    0.2000
   23.0000    0.0927    0.2853    0.4000
   24.0000    0.0927    0.2853    0.6000
   25.0000    0.0927    0.2853    0.8000
   26.0000    0.0000    0.3000         0
   27.0000    0.0000    0.3000    0.2000
   28.0000    0.0000    0.3000    0.4000
   29.0000    0.0000    0.3000    0.6000
   30.0000    0.0000    0.3000    0.8000
   31.0000   -0.0927    0.2853         0
   32.0000   -0.0927    0.2853    0.2000
   33.0000   -0.0927    0.2853    0.4000
   34.0000   -0.0927    0.2853    0.6000
   35.0000   -0.0927    0.2853    0.8000
   36.0000   -0.1763    0.2427         0
   37.0000   -0.1763    0.2427    0.2000
   38.0000   -0.1763    0.2427    0.4000
   39.0000   -0.1763    0.2427    0.6000
   40.0000   -0.1763    0.2427    0.8000
   41.0000   -0.2427    0.1763         0
   42.0000   -0.2427    0.1763    0.2000
   43.0000   -0.2427    0.1763    0.4000
   44.0000   -0.2427    0.1763    0.6000
   45.0000   -0.2427    0.1763    0.8000
   46.0000   -0.2853    0.0927         0
   47.0000   -0.2853    0.0927    0.2000
   48.0000   -0.2853    0.0927    0.4000
   49.0000   -0.2853    0.0927    0.6000
   50.0000   -0.2853    0.0927    0.8000
   51.0000   -0.3000    0.0000         0
   52.0000   -0.3000    0.0000    0.2000
   53.0000   -0.3000    0.0000    0.4000
   54.0000   -0.3000    0.0000    0.6000
   55.0000   -0.3000    0.0000    0.8000
   56.0000   -0.2853   -0.0927         0
   57.0000   -0.2853   -0.0927    0.2000
   58.0000   -0.2853   -0.0927    0.4000
   59.0000   -0.2853   -0.0927    0.6000
   60.0000   -0.2853   -0.0927    0.8000
   61.0000   -0.2427   -0.1763         0
   62.0000   -0.2427   -0.1763    0.2000
   63.0000   -0.2427   -0.1763    0.4000
   64.0000   -0.2427   -0.1763    0.6000
   65.0000   -0.2427   -0.1763    0.8000
   66.0000   -0.1763   -0.2427         0
   67.0000   -0.1763   -0.2427    0.2000
   68.0000   -0.1763   -0.2427    0.4000
   69.0000   -0.1763   -0.2427    0.6000
   70.0000   -0.1763   -0.2427    0.8000
   71.0000   -0.0927   -0.2853         0
   72.0000   -0.0927   -0.2853    0.2000
   73.0000   -0.0927   -0.2853    0.4000
   74.0000   -0.0927   -0.2853    0.6000
   75.0000   -0.0927   -0.2853    0.8000
   76.0000    0.0000   -0.3000         0
   77.0000   -0.0000   -0.3000    0.2000
   78.0000   -0.0000   -0.3000    0.4000
   79.0000   -0.0000   -0.3000    0.6000
   80.0000   -0.0000   -0.3000    0.8000
   81.0000    0.0927   -0.2853         0
   82.0000    0.0927   -0.2853    0.2000
   83.0000    0.0927   -0.2853    0.4000
   84.0000    0.0927   -0.2853    0.6000
   85.0000    0.0927   -0.2853    0.8000
   86.0000    0.1763   -0.2427         0
   87.0000    0.1763   -0.2427    0.2000
   88.0000    0.1763   -0.2427    0.4000
   89.0000    0.1763   -0.2427    0.6000
   90.0000    0.1763   -0.2427    0.8000
   91.0000    0.2427   -0.1763         0
   92.0000    0.2427   -0.1763    0.2000
   93.0000    0.2427   -0.1763    0.4000
   94.0000    0.2427   -0.1763    0.6000
   95.0000    0.2427   -0.1763    0.8000
   96.0000    0.2853   -0.0927         0
   97.0000    0.2853   -0.0927    0.2000
   98.0000    0.2853   -0.0927    0.4000
   99.0000    0.2853   -0.0927    0.6000
  100.0000    0.2853   -0.0927    0.8000
  101.0000    0.3000   -0.0000    1.0000
  102.0000    0.2853    0.0927    1.0000
  103.0000    0.2427    0.1763    1.0000
  104.0000    0.1763    0.2427    1.0000
  105.0000    0.0927    0.2853    1.0000
  106.0000    0.0000    0.3000    1.0000
  107.0000   -0.0927    0.2853    1.0000
  108.0000   -0.1763    0.2427    1.0000
  109.0000   -0.2427    0.1763    1.0000
  110.0000   -0.2853    0.0927    1.0000
  111.0000   -0.3000    0.0000    1.0000
  112.0000   -0.2853   -0.0927    1.0000
  113.0000   -0.2427   -0.1763    1.0000
  114.0000   -0.1763   -0.2427    1.0000
  115.0000   -0.0927   -0.2853    1.0000
  116.0000    0.0000   -0.3000    1.0000
  117.0000    0.0927   -0.2853    1.0000
  118.0000    0.1763   -0.2427    1.0000
  119.0000    0.2427   -0.1763    1.0000
  120.0000    0.2853   -0.0927    1.0000
