    % Node      UX                UY            UZ             RX              RY             RZ
    1     0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
    2    -3.38337E-04   -1.50290E-18    1.39989E-04    2.73441E-16   -3.30046E-03    6.14800E-17
    3    -6.34080E-04   -6.21241E-18    2.38668E-04   -2.32465E-16    2.80479E-04    2.36338E-16
    4    -9.06750E-04   -1.23593E-17    2.94987E-04    3.07858E-16   -2.96480E-03    3.22902E-16
    5    -1.20167E-03   -1.83598E-17    3.21168E-04   -2.21367E-16   -9.12657E-06    2.11992E-16
    6     0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
    7    -3.30991E-04   -2.26089E-05    1.33138E-04    2.00012E-04   -3.23547E-03   -7.91486E-05
    8    -6.28130E-04   -1.83133E-05    2.26987E-04   -2.26371E-04    2.06926E-04   -6.41360E-05
    9    -9.04299E-04   -7.54448E-06    2.80549E-04    1.11711E-04   -2.92850E-03   -2.64906E-05
   10    -1.19940E-03   -6.99312E-06    3.05449E-04   -1.11292E-04   -4.52875E-05   -2.44560E-05
   11     0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
   12    -3.11759E-04   -3.65820E-05    1.13254E-04    3.23627E-04   -3.06533E-03   -1.50550E-04
   13    -6.12552E-04   -2.96315E-05    1.93087E-04   -3.66276E-04    1.43635E-05   -1.21994E-04
   14    -8.97881E-04   -1.22072E-05    2.38649E-04    1.80752E-04   -2.83348E-03   -5.03882E-05
   15    -1.19345E-03   -1.13151E-05    2.59830E-04   -1.80074E-04   -1.39958E-04   -4.65180E-05
   16     0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
   17    -2.87986E-04   -3.65820E-05    8.22835E-05    3.23627E-04   -2.85503E-03   -2.07214E-04
   18    -5.93296E-04   -2.96315E-05    1.40286E-04   -3.66276E-04   -2.23657E-04   -1.67910E-04
   19    -8.89949E-04   -1.22072E-05    1.73389E-04    1.80752E-04   -2.71602E-03   -6.93534E-05
   20    -1.18609E-03   -1.13151E-05    1.88778E-04   -1.80074E-04   -2.56978E-04   -6.40266E-05
   21     0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
   22    -2.68754E-04   -2.26089E-05    4.32590E-05    2.00012E-04   -2.68489E-03   -2.43594E-04
   23    -5.77718E-04   -1.83133E-05    7.37526E-05   -2.26371E-04   -4.16220E-04   -1.97390E-04
   24    -8.83531E-04   -7.54448E-06    9.11559E-05    1.11711E-04   -2.62099E-03   -8.15298E-05
   25    -1.18015E-03   -6.99312E-06    9.92463E-05   -1.11292E-04   -3.51648E-04   -7.52677E-05
   26     0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
   27    -2.61408E-04    6.18979E-18   -8.71512E-19   -6.06104E-17   -2.61990E-03   -2.56130E-04
   28    -5.71767E-04    2.24681E-17   -1.90258E-18   -1.01925E-16   -4.89773E-04   -2.07549E-04
   29    -8.81080E-04    5.03864E-17   -2.47407E-18   -1.73947E-16   -2.58469E-03   -8.57255E-05
   30    -1.17787E-03    7.47689E-17   -1.95070E-18   -6.92561E-17   -3.87809E-04   -7.91412E-05
   31     0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
   32    -2.68754E-04    2.26089E-05   -4.32590E-05   -2.00012E-04   -2.68489E-03   -2.43594E-04
   33    -5.77718E-04    1.83133E-05   -7.37526E-05    2.26371E-04   -4.16220E-04   -1.97390E-04
   34    -8.83531E-04    7.54448E-06   -9.11559E-05   -1.11711E-04   -2.62099E-03   -8.15298E-05
   35    -1.18015E-03    6.99312E-06   -9.92463E-05    1.11292E-04   -3.51648E-04   -7.52677E-05
   36     0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
   37    -2.87986E-04    3.65820E-05   -8.22835E-05   -3.23627E-04   -2.85503E-03   -2.07214E-04
   38    -5.93296E-04    2.96315E-05   -1.40286E-04    3.66276E-04   -2.23657E-04   -1.67910E-04
   39    -8.89949E-04    1.22072E-05   -1.73389E-04   -1.80752E-04   -2.71602E-03   -6.93534E-05
   40    -1.18609E-03    1.13151E-05   -1.88778E-04    1.80074E-04   -2.56978E-04   -6.40266E-05
   41     0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
   42    -3.11759E-04    3.65820E-05   -1.13254E-04   -3.23627E-04   -3.06533E-03   -1.50550E-04
   43    -6.12552E-04    2.96315E-05   -1.93087E-04    3.66276E-04    1.43635E-05   -1.21994E-04
   44    -8.97881E-04    1.22072E-05   -2.38649E-04   -1.80752E-04   -2.83348E-03   -5.03882E-05
   45    -1.19345E-03    1.13151E-05   -2.59830E-04    1.80074E-04   -1.39958E-04   -4.65180E-05
   46     0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
   47    -3.30991E-04    2.26089E-05   -1.33138E-04   -2.00012E-04   -3.23547E-03   -7.91486E-05
   48    -6.28130E-04    1.83133E-05   -2.26987E-04    2.26371E-04    2.06926E-04   -6.41360E-05
   49    -9.04299E-04    7.54448E-06   -2.80549E-04   -1.11711E-04   -2.92850E-03   -2.64906E-05
   50    -1.19940E-03    6.99312E-06   -3.05449E-04    1.11292E-04   -4.52875E-05   -2.44560E-05
   51     0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
   52    -3.38337E-04   -1.04565E-17   -1.39989E-04   -1.73449E-16   -3.30046E-03   -1.25182E-16
   53    -6.34080E-04   -2.63077E-17   -2.38668E-04    4.47993E-16    2.80479E-04   -3.12352E-16
   54    -9.06750E-04   -4.40217E-17   -2.94987E-04   -3.57933E-16   -2.96480E-03   -5.98923E-16
   55    -1.20167E-03   -6.10188E-17   -3.21168E-04    5.99700E-16   -9.12657E-06   -8.65966E-16
   56     0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
   57    -3.30991E-04   -2.26089E-05   -1.33138E-04    2.00012E-04   -3.23547E-03    7.91486E-05
   58    -6.28130E-04   -1.83133E-05   -2.26987E-04   -2.26371E-04    2.06926E-04    6.41360E-05
   59    -9.04299E-04   -7.54448E-06   -2.80549E-04    1.11711E-04   -2.92850E-03    2.64906E-05
   60    -1.19940E-03   -6.99312E-06   -3.05449E-04   -1.11292E-04   -4.52875E-05    2.44560E-05
   61     0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
   62    -3.11759E-04   -3.65820E-05   -1.13254E-04    3.23627E-04   -3.06533E-03    1.50550E-04
   63    -6.12552E-04   -2.96315E-05   -1.93087E-04   -3.66276E-04    1.43635E-05    1.21994E-04
   64    -8.97881E-04   -1.22072E-05   -2.38649E-04    1.80752E-04   -2.83348E-03    5.03882E-05
   65    -1.19345E-03   -1.13151E-05   -2.59830E-04   -1.80074E-04   -1.39958E-04    4.65180E-05
   66     0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
   67    -2.87986E-04   -3.65820E-05   -8.22835E-05    3.23627E-04   -2.85503E-03    2.07214E-04
   68    -5.93296E-04   -2.96315E-05   -1.40286E-04   -3.66276E-04   -2.23657E-04    1.67910E-04
   69    -8.89949E-04   -1.22072E-05   -1.73389E-04    1.80752E-04   -2.71602E-03    6.93534E-05
   70    -1.18609E-03   -1.13151E-05   -1.88778E-04   -1.80074E-04   -2.56978E-04    6.40266E-05
   71     0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
   72    -2.68754E-04   -2.26089E-05   -4.32590E-05    2.00012E-04   -2.68489E-03    2.43594E-04
   73    -5.77718E-04   -1.83133E-05   -7.37526E-05   -2.26371E-04   -4.16220E-04    1.97390E-04
   74    -8.83531E-04   -7.54448E-06   -9.11559E-05    1.11711E-04   -2.62099E-03    8.15298E-05
   75    -1.18015E-03   -6.99312E-06   -9.92463E-05   -1.11292E-04   -3.51648E-04    7.52677E-05
   76     0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
   77    -2.61408E-04   -1.45121E-18   -2.20539E-18    1.42495E-17   -2.61990E-03    2.56130E-04
   78    -5.71767E-04    5.75094E-19   -3.77857E-18   -3.33019E-17   -4.89773E-04    2.07549E-04
   79    -8.81080E-04    9.98972E-18   -4.60645E-18   -5.81187E-17   -2.58469E-03    8.57255E-05
   80    -1.17787E-03    2.24879E-17   -5.39817E-18   -6.61156E-17   -3.87809E-04    7.91412E-05
   81     0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
   82    -2.68754E-04    2.26089E-05    4.32590E-05   -2.00012E-04   -2.68489E-03    2.43594E-04
   83    -5.77718E-04    1.83133E-05    7.37526E-05    2.26371E-04   -4.16220E-04    1.97390E-04
   84    -8.83531E-04    7.54448E-06    9.11559E-05   -1.11711E-04   -2.62099E-03    8.15298E-05
   85    -1.18015E-03    6.99312E-06    9.92463E-05    1.11292E-04   -3.51648E-04    7.52677E-05
   86     0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
   87    -2.87986E-04    3.65820E-05    8.22835E-05   -3.23627E-04   -2.85503E-03    2.07214E-04
   88    -5.93296E-04    2.96315E-05    1.40286E-04    3.66276E-04   -2.23657E-04    1.67910E-04
   89    -8.89949E-04    1.22072E-05    1.73389E-04   -1.80752E-04   -2.71602E-03    6.93534E-05
   90    -1.18609E-03    1.13151E-05    1.88778E-04    1.80074E-04   -2.56978E-04    6.40266E-05
   91     0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
   92    -3.11759E-04    3.65820E-05    1.13254E-04   -3.23627E-04   -3.06533E-03    1.50550E-04
   93    -6.12552E-04    2.96315E-05    1.93087E-04    3.66276E-04    1.43635E-05    1.21994E-04
   94    -8.97881E-04    1.22072E-05    2.38649E-04   -1.80752E-04   -2.83348E-03    5.03882E-05
   95    -1.19345E-03    1.13151E-05    2.59830E-04    1.80074E-04   -1.39958E-04    4.65180E-05
   96     0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
   97    -3.30991E-04    2.26089E-05    1.33138E-04   -2.00012E-04   -3.23547E-03    7.91486E-05
   98    -6.28130E-04    1.83133E-05    2.26987E-04    2.26371E-04    2.06926E-04    6.41360E-05
   99    -9.04299E-04    7.54448E-06    2.80549E-04   -1.11711E-04   -2.92850E-03    2.64906E-05
  100    -1.19940E-03    6.99312E-06    3.05449E-04    1.11292E-04   -4.52875E-05    2.44560E-05
  101    -1.48576E-03   -2.32089E-17    3.33335E-04    2.48627E-16   -2.82359E-03    2.77009E-16
  102    -1.48135E-03   -1.35953E-05    3.17021E-04    1.73458E-04   -2.76723E-03   -4.78128E-05
  103    -1.46978E-03   -2.19977E-05    2.69674E-04    2.80662E-04   -2.61968E-03   -9.09453E-05
